ID,ApplicantIncome
1,5849
2,4583
3,3000
4,2583
5,6000
6,5417
7,2333
8,3036
9,4006
10,12841
11,3200
12,2500
13,3073
14,1853
15,1299
16,4950
17,3596
18,3510
19,4887
20,2600
21,7660
22,5955
23,2600
24,3365
25,3717
26,9560
27,2799
28,4226
29,1442
30,3750
31,4166
32,3167
33,4692
34,3500
35,12500
36,2275
37,1828
38,3667
39,4166
40,3748
41,3600
42,1800
43,2400
44,3941
45,4695
46,3410
47,5649
48,5821
49,2645
50,4000
51,1928
52,3086
53,4230
54,4616
55,11500
56,2708
57,2132
58,3366
59,8080
60,3357
61,2500
62,3029
63,2609
64,4945
65,4166
66,5726
67,3200
68,10750
69,7100
70,4300
71,3208
72,1875
73,3500
74,4755
75,5266
76,3750
77,3750
78,1000
79,3167
80,3333
81,3846
82,2395
83,1378
84,6000
85,3988
86,2366
87,3333
88,2500
89,8566
90,5695
91,2958
92,6250
93,3273
94,4133
95,3620
96,6782
97,2484
98,1977
99,4188
100,1759
101,4288
102,4843
103,13650
104,4652
105,3816
106,3052
107,11417
108,7333
109,3800
110,2071
111,5316
112,2929
113,3572
114,7451
115,5050
116,14583
117,3167
118,2214
119,5568
120,10408
121,5667
122,4166
123,2137
124,2957
125,4300
126,3692
127,23803
128,3865
129,10513
130,6080
131,20166
132,2014
133,2718
134,3459
135,4895
136,4000
137,4583
138,3316
139,14999
140,4200
141,5042
142,5417
143,6950
144,2698
145,11757
146,2330
147,14866
148,1538
149,10000
150,4860
151,6277
152,2577
153,9166
154,2281
155,3254
156,39999
157,6000
158,9538
159,2980
160,4583
161,1863
162,7933
163,3089
164,4167
165,9323
166,3707
167,4583
168,2439
169,2237
170,8000
171,1820
172,51763
173,3522
174,5708
175,4344
176,3497
177,2045
178,5516
179,3750
180,2333
181,6400
182,1916
183,4600
184,33846
185,3625
186,39147
187,2178
188,2383
189,674
190,9328
191,4885
192,12000
193,6033
194,3858
195,4191
196,3125
197,8333
198,1907
199,3416
200,11000
201,2600
202,4923
203,3992
204,3500
205,3917
206,4408
207,3244
208,3975
209,2479
210,3418
211,10000
212,3430
213,7787
214,5703
215,3173
216,3850
217,150
218,3727
219,5000
220,4283
221,2221
222,4009
223,2971
224,7578
225,6250
226,3250
227,4735
228,6250
229,4758
230,6400
231,2491
232,3716
233,3189
234,8333
235,3155
236,5500
237,5746
238,3463
239,3812
240,3315
241,5819
242,2510
243,2965
244,6250
245,3406
246,6050
247,9703
248,6608
249,2882
250,1809
251,1668
252,3427
253,2583
254,2661
255,16250
256,3083
257,6045
258,5250
259,14683
260,4931
261,6083
262,2060
263,3481
264,7200
265,5166
266,4095
267,4708
268,4333
269,3418
270,2876
271,3237
272,11146
273,2833
274,2620
275,3900
276,2750
277,3993
278,3103
279,14583
280,4100
281,4053
282,3927
283,2301
284,1811
285,20667
286,3158
287,2600
288,3704
289,4124
290,9508
291,3075
292,4400
293,3153
294,5417
295,2383
296,4416
297,6875
298,4666
299,5000
300,2014
301,1800
302,2875
303,5000
304,1625
305,4000
306,2000
307,3762
308,2400
309,20233
310,7667
311,2917
312,2927
313,2507
314,5746
315,2473
316,3399
317,3717
